node_name,gene_id,gene_symbol,string_gene_label,gene_name,primary_module,modules,contrasts,n_selected_rows,n_contrasts,min_padj,max_abs_log2FoldChange,mean_abs_log2FoldChange,strongest_contrast,strongest_log2FoldChange,strongest_padj,strongest_regulation,n_up_rows,n_down_rows,module_selection_evidence,module_selected,best_module_trait,best_module_trait_corr,best_module_trait_pval,best_module_trait_padj,fraction_deg_priority,log2FC__MA100_vs_CTR,log2FC__MA100_vs_MA1,log2FC__MA1_vs_CTR,log2FC__MC100_vs_MC1,log2FC__MC1_vs_CTR,log2FC__MD1_vs_CTR,padj__MA100_vs_CTR,padj__MA100_vs_MA1,padj__MA1_vs_CTR,padj__MC100_vs_MC1,padj__MC1_vs_CTR,padj__MD1_vs_CTR,regulation__MA100_vs_CTR,regulation__MA100_vs_MA1,regulation__MA1_vs_CTR,regulation__MC100_vs_MC1,regulation__MC1_vs_CTR,regulation__MD1_vs_CTR,n_unique_genes_in_module,n_deg_priority,n_priority_contrasts_present,priority_contrasts_present,fraction_support,trait_support
PKIB,ENSG00000135549,PKIB,PKIB,cAMP-dependent protein kinase inhibitor beta,mistyrose,mistyrose,MC100_vs_MC1,1,1,0.0886452069891605,1.365425635874643,1.365425635874643,MC100_vs_MC1,1.365425635874643,0.0886452069891605,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.3310821963795144,0.1426416782130668,0.5170760835223672,0.01784037558685446,,,,1.365425635874643,,,,,,0.0886452069891605,,,,,,up_in_tested,,,2130,38,3,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,True,False
H2BC12,ENSG00000197903,H2BC12,H2BC12,H2B clustered histone 12,dimgrey,dimgrey,MC100_vs_MC1,1,1,0.0901523830670853,1.052429168181468,1.052429168181468,MC100_vs_MC1,1.052429168181468,0.0901523830670853,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,1.052429168181468,,,,,,0.0901523830670853,,,,,,up_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
MCAM,ENSG00000076706,MCAM,MCAM,melanoma cell adhesion molecule,darkgrey,darkgrey,MA100_vs_CTR,1,1,0.0903689856006841,1.099574546285146,1.099574546285146,MA100_vs_CTR,1.099574546285146,0.0903689856006841,up_in_tested,1,0,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,1.099574546285146,,,,,,0.0903689856006841,,,,,,up_in_tested,,,,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
PNMA6A,ENSG00000235961,PNMA6A,PNMA6A,PNMA family member 6A,darkgrey,darkgrey,MC100_vs_MC1,1,1,0.0912081783659334,1.6119483505100984,1.6119483505100984,MC100_vs_MC1,-1.6119483505100984,0.0912081783659334,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.6119483505100984,,,,,,0.0912081783659334,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
PTPRE,ENSG00000132334,PTPRE,PTPRE,protein tyrosine phosphatase receptor type E,gainsboro,gainsboro,MC100_vs_MC1,1,1,0.0913462655284736,1.1925270005765052,1.1925270005765052,MC100_vs_MC1,-1.1925270005765052,0.0913462655284736,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.2764543534617769,0.2250855359964076,0.5934073221723475,0.04092526690391459,,,,-1.1925270005765052,,,,,,0.0913462655284736,,,,,,down_in_tested,,,1124,46,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
ZNF562,ENSG00000171466,ZNF562,ZNF562,zinc finger protein 562,darkgrey,darkgrey,MC100_vs_MC1,1,1,0.0917079804944668,1.0981707427039895,1.0981707427039895,MC100_vs_MC1,-1.0981707427039895,0.0917079804944668,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.0981707427039895,,,,,,0.0917079804944668,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
PHRF1,ENSG00000070047,PHRF1,PHRF1,PHD and ring finger domains 1,darkgrey,darkgrey,MC100_vs_MC1,1,1,0.0920935850231333,1.4841453101132724,1.4841453101132724,MC100_vs_MC1,-1.4841453101132724,0.0920935850231333,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.4841453101132724,,,,,,0.0920935850231333,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
TMEM121,ENSG00000184986,TMEM121,TMEM121,transmembrane protein 121,dimgrey,dimgrey,MC100_vs_MC1,1,1,0.0938170929438479,1.2998446676765991,1.2998446676765991,MC100_vs_MC1,-1.2998446676765991,0.0938170929438479,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,-1.2998446676765991,,,,,,0.0938170929438479,,,,,,down_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
GPR137B,ENSG00000077585,GPR137B,GPR137B,G protein-coupled receptor 137B,dimgrey,dimgrey,MA100_vs_CTR,1,1,0.0939132844428321,1.046032468431256,1.046032468431256,MA100_vs_CTR,-1.046032468431256,0.0939132844428321,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,-1.046032468431256,,,,,,0.0939132844428321,,,,,,down_in_tested,,,,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
VPS53,ENSG00000141252,VPS53,VPS53,VPS53 subunit of GARP complex,gainsboro,gainsboro,MA100_vs_CTR,1,1,0.0942256787901677,1.1635739235660767,1.1635739235660767,MA100_vs_CTR,1.1635739235660767,0.0942256787901677,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.2764543534617769,0.2250855359964076,0.5934073221723475,0.04092526690391459,1.1635739235660767,,,,,,0.0942256787901677,,,,,,up_in_tested,,,,,,1124,46,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
GARIN1A,ENSG00000205085,GARIN1A,GARIN1A,golgi associated RAB2 interactor 1A,gainsboro,gainsboro,MA100_vs_CTR,1,1,0.0948408247666555,1.038113619930353,1.038113619930353,MA100_vs_CTR,1.038113619930353,0.0948408247666555,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.2764543534617769,0.2250855359964076,0.5934073221723475,0.04092526690391459,1.038113619930353,,,,,,0.0948408247666555,,,,,,up_in_tested,,,,,,1124,46,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
POU6F1,ENSG00000184271,POU6F1,POU6F1,POU class 6 homeobox 1,dimgrey,dimgrey,MC100_vs_MC1,1,1,0.0958005403853755,1.627989694940446,1.627989694940446,MC100_vs_MC1,1.627989694940446,0.0958005403853755,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,1.627989694940446,,,,,,0.0958005403853755,,,,,,up_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
PTEN,ENSG00000171862,PTEN,PTEN,phosphatase and tensin homolog,dimgrey,dimgrey,MC100_vs_MC1,1,1,0.0959776770053133,1.318687851619252,1.318687851619252,MC100_vs_MC1,1.318687851619252,0.0959776770053133,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,1.318687851619252,,,,,,0.0959776770053133,,,,,,up_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
CCDC57,ENSG00000176155,CCDC57,CCDC57,coiled-coil domain containing 57,darkgrey,darkgrey,MC100_vs_MC1,1,1,0.0964543131073567,1.240730600446524,1.240730600446524,MC100_vs_MC1,-1.240730600446524,0.0964543131073567,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.240730600446524,,,,,,0.0964543131073567,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
KCTD6,ENSG00000168301,KCTD6,KCTD6,potassium channel tetramerization domain containing 6,indianred,indianred,MC100_vs_MC1,1,1,0.0966306613856918,1.2781664185559445,1.2781664185559445,MC100_vs_MC1,1.2781664185559445,0.0966306613856918,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.1819862672482626,0.4298044988398759,0.7331959097856707,0.027777777777777776,,,,1.2781664185559445,,,,,,0.0966306613856918,,,,,,up_in_tested,,,216,6,1,MC100_vs_MC1,True,False
