node_name,gene_id,gene_symbol,string_gene_label,gene_name,primary_module,modules,contrasts,n_selected_rows,n_contrasts,min_padj,max_abs_log2FoldChange,mean_abs_log2FoldChange,strongest_contrast,strongest_log2FoldChange,strongest_padj,strongest_regulation,n_up_rows,n_down_rows,module_selection_evidence,module_selected,best_module_trait,best_module_trait_corr,best_module_trait_pval,best_module_trait_padj,fraction_deg_priority,log2FC__MA100_vs_CTR,log2FC__MA100_vs_MA1,log2FC__MA1_vs_CTR,log2FC__MC100_vs_MC1,log2FC__MC1_vs_CTR,log2FC__MD1_vs_CTR,padj__MA100_vs_CTR,padj__MA100_vs_MA1,padj__MA1_vs_CTR,padj__MC100_vs_MC1,padj__MC1_vs_CTR,padj__MD1_vs_CTR,regulation__MA100_vs_CTR,regulation__MA100_vs_MA1,regulation__MA1_vs_CTR,regulation__MC100_vs_MC1,regulation__MC1_vs_CTR,regulation__MD1_vs_CTR,n_unique_genes_in_module,n_deg_priority,n_priority_contrasts_present,priority_contrasts_present,fraction_support,trait_support
TMEM120B,ENSG00000188735,TMEM120B,TMEM120B,transmembrane protein 120B,darkgrey,darkgrey,MD1_vs_CTR,1,1,6.886134417155066e-05,1.1500508202292077,1.1500508202292077,MD1_vs_CTR,1.1500508202292077,6.886134417155066e-05,up_in_tested,1,0,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,,,1.1500508202292077,,,,,,6.886134417155066e-05,,,,,,up_in_tested,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
MXRA5,ENSG00000101825,MXRA5,MXRA5,matrix remodeling associated 5,darkgrey,darkgrey,MC1_vs_CTR;MD1_vs_CTR,2,2,6.886134417155066e-05,1.0616470409431762,1.0538085240015436,MD1_vs_CTR,1.0616470409431762,6.886134417155066e-05,up_in_tested,2,0,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,,1.0459700070599112,1.0616470409431762,,,,,9.84385194412398e-05,6.886134417155066e-05,,,,,up_in_tested,up_in_tested,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
PXN,ENSG00000089159,PXN,PXN,paxillin,dimgrey,dimgrey,MC100_vs_MC1,1,1,7.660598021203551e-05,1.146640496884698,1.146640496884698,MC100_vs_MC1,1.146640496884698,7.660598021203551e-05,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,1.146640496884698,,,,,,7.660598021203551e-05,,,,,,up_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
MORN2,ENSG00000188010,MORN2,MORN2,MORN repeat containing 2,dimgrey,dimgrey,MA100_vs_CTR;MC1_vs_CTR,2,2,8.066338082541315e-05,1.1869393151106833,1.1424869715278976,MA100_vs_CTR,-1.1869393151106833,8.066338082541315e-05,down_in_tested,0,2,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,-1.1869393151106833,,,,-1.0980346279451116,,8.066338082541315e-05,,,,0.0002124919074199,,down_in_tested,,,,down_in_tested,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
MT-ND2,ENSG00000198763,MT-ND2,MT-ND2,NADH dehydrogenase subunit 2,gainsboro,gainsboro,MA100_vs_CTR;MC1_vs_CTR;MD1_vs_CTR,3,3,8.221300241450503e-05,1.3581876470614385,1.1927895972565197,MD1_vs_CTR,-1.3581876470614385,8.221300241450503e-05,down_in_tested,0,3,deg_fraction,True,particle_size_um,-0.2764543534617769,0.2250855359964076,0.5934073221723475,0.04092526690391459,-1.0746924545808598,,,,-1.1454886901272607,-1.3581876470614385,0.0027299411397729,,,,0.0010958447579135,8.221300241450503e-05,down_in_tested,,,,down_in_tested,down_in_tested,1124,46,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
NUDCD1,ENSG00000120526,NUDCD1,NUDCD1,NudC domain containing 1,dimgrey,dimgrey,MC1_vs_CTR,1,1,8.500134728628226e-05,1.1446443767448864,1.1446443767448864,MC1_vs_CTR,-1.1446443767448864,8.500134728628226e-05,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,,-1.1446443767448864,,,,,,8.500134728628226e-05,,,,,,down_in_tested,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
UQCRC2,ENSG00000140740,UQCRC2,UQCRC2,ubiquinol-cytochrome c reductase core protein 2,dimgrey,dimgrey,MC100_vs_MC1;MC1_vs_CTR,2,2,8.593263202870275e-05,1.7309320009413398,1.6451816980001999,MC100_vs_MC1,1.7309320009413398,8.593263202870275e-05,up_in_tested,1,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,1.7309320009413398,-1.55943139505906,,,,,8.593263202870275e-05,0.0007132961223449,,,,,up_in_tested,down_in_tested,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
PER1,ENSG00000179094,PER1,PER1,period circadian regulator 1,darkgrey,darkgrey,MC1_vs_CTR,1,1,8.754478481486205e-05,1.5280104260616554,1.5280104260616554,MC1_vs_CTR,1.5280104260616554,8.754478481486205e-05,up_in_tested,1,0,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,,1.5280104260616554,,,,,,8.754478481486205e-05,,,,,,up_in_tested,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
MRFAP1L1,ENSG00000178988,MRFAP1L1,MRFAP1L1,Morf4 family associated protein 1 like 1,darkgrey,darkgrey,MA100_vs_MA1;MC100_vs_MC1,2,2,8.759221349726353e-05,1.4809922752345452,1.3688794354796128,MC100_vs_MC1,-1.4809922752345452,8.759221349726353e-05,down_in_tested,1,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,1.2567665957246803,,-1.4809922752345452,,,,0.0093068690052794,,8.759221349726353e-05,,,,up_in_tested,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
CALR,ENSG00000179218,CALR,CALR,calreticulin,gainsboro,gainsboro,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,8.844974351693294e-05,1.2448686469254175,1.1906737165490247,MA100_vs_CTR,1.2448686469254175,8.844974351693294e-05,up_in_tested,2,1,deg_fraction,True,particle_size_um,-0.2764543534617769,0.2250855359964076,0.5934073221723475,0.04092526690391459,1.2448686469254175,,,-1.1583718562291925,1.168780646492464,,8.844974351693294e-05,,,0.0001440876679366,0.0001974422044004,,up_in_tested,,,down_in_tested,up_in_tested,,1124,46,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
NDUFB10,ENSG00000140990,NDUFB10,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10,dimgrey,dimgrey,MC100_vs_MC1;MC1_vs_CTR,2,2,9.24704049799802e-05,1.385884873462546,1.2635801788006649,MC100_vs_MC1,1.385884873462546,9.24704049799802e-05,up_in_tested,1,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,1.385884873462546,-1.1412754841387838,,,,,9.24704049799802e-05,0.002168529585809,,,,,up_in_tested,down_in_tested,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
CAPG,ENSG00000042493,CAPG,CAPG,"capping actin protein, gelsolin like",darkgrey,darkgrey,MC100_vs_MC1,1,1,9.509110677736256e-05,1.02693818102818,1.02693818102818,MC100_vs_MC1,-1.02693818102818,9.509110677736256e-05,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.02693818102818,,,,,,9.509110677736256e-05,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
ATP1A1,ENSG00000163399,ATP1A1,ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,darkgrey,darkgrey,MC100_vs_MC1,1,1,9.539705154237658e-05,1.4829406176164623,1.4829406176164623,MC100_vs_MC1,-1.4829406176164623,9.539705154237658e-05,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.4829406176164623,,,,,,9.539705154237658e-05,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
TBC1D10B,ENSG00000169221,TBC1D10B,TBC1D10B,TBC1 domain family member 10B,dimgrey,dimgrey,MC100_vs_MC1;MC1_vs_CTR,2,2,9.618258488309864e-05,1.34938535577506,1.2243270571311138,MC100_vs_MC1,1.34938535577506,9.618258488309864e-05,up_in_tested,1,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,1.34938535577506,-1.0992687584871674,,,,,9.618258488309864e-05,0.0026542654265845,,,,,up_in_tested,down_in_tested,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
PSMD3,ENSG00000108344,PSMD3,PSMD3,"proteasome 26S subunit, non-ATPase 3",dimgrey,dimgrey,MC100_vs_MC1,1,1,9.666601620670976e-05,1.4253318186392694,1.4253318186392694,MC100_vs_MC1,-1.4253318186392694,9.666601620670976e-05,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,-1.4253318186392694,,,,,,9.666601620670976e-05,,,,,,down_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
MKKS,ENSG00000125863,MKKS,MKKS,MKKS centrosomal shuttling protein,dimgrey,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,4,4,9.699234311319155e-05,1.910297908869464,1.5755838548681684,MD1_vs_CTR,-1.910297908869464,9.699234311319155e-05,down_in_tested,1,3,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,-1.088787122880305,,,1.6498442729223617,-1.6534061148005428,-1.910297908869464,0.0378375113683944,,,0.000555844006892,0.0007978492330413,9.699234311319155e-05,down_in_tested,,,up_in_tested,down_in_tested,down_in_tested,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
HSP90AA1,ENSG00000080824,HSP90AA1,HSP90AA1,heat shock protein 90 alpha family class A member 1,gainsboro,gainsboro,MD1_vs_CTR,1,1,0.0001021701418289,1.0359277247177878,1.0359277247177878,MD1_vs_CTR,-1.0359277247177878,0.0001021701418289,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.2764543534617769,0.2250855359964076,0.5934073221723475,0.04092526690391459,,,,,,-1.0359277247177878,,,,,,0.0001021701418289,,,,,,down_in_tested,1124,46,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
ADAM15,ENSG00000143537,ADAM15,ADAM15,ADAM metallopeptidase domain 15,dimgrey,dimgrey,MC100_vs_MC1,1,1,0.0001070023859498,1.6805388923912936,1.6805388923912936,MC100_vs_MC1,-1.6805388923912936,0.0001070023859498,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,-1.6805388923912936,,,,,,0.0001070023859498,,,,,,down_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
HSPA8,ENSG00000109971,HSPA8,HSPA8,heat shock protein family A (Hsp70) member 8,dimgrey,dimgrey,MA100_vs_CTR;MC100_vs_MC1,2,2,0.0001086290093417,1.140907647399845,1.0733326541531834,MC100_vs_MC1,1.140907647399845,0.0001086290093417,up_in_tested,1,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,-1.0057576609065215,,,1.140907647399845,,,0.0013081489187151,,,0.0001086290093417,,,down_in_tested,,,up_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
PRMT2,ENSG00000160310,PRMT2,PRMT2,protein arginine methyltransferase 2,dimgrey,dimgrey,MC100_vs_MC1,1,1,0.0001127058393079,1.0567312456411384,1.0567312456411384,MC100_vs_MC1,-1.0567312456411384,0.0001127058393079,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,-1.0567312456411384,,,,,,0.0001127058393079,,,,,,down_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
NAA16,ENSG00000172766,NAA16,NAA16,"N-alpha-acetyltransferase 16, NatA auxiliary subunit",dimgrey,dimgrey,MC1_vs_CTR,1,1,0.000115175735079,1.1542516414846329,1.1542516414846329,MC1_vs_CTR,-1.1542516414846329,0.000115175735079,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,,-1.1542516414846329,,,,,,0.000115175735079,,,,,,down_in_tested,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
DNAJB5,ENSG00000137094,DNAJB5,DNAJB5,DnaJ heat shock protein family (Hsp40) member B5,darkgrey,darkgrey,MC100_vs_MC1,1,1,0.0001188746468363,1.21222329365646,1.21222329365646,MC100_vs_MC1,-1.21222329365646,0.0001188746468363,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.21222329365646,,,,,,0.0001188746468363,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
NDUFB9,ENSG00000147684,NDUFB9,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9,dimgrey,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,0.0001197014309876,1.2558023601367667,1.217822497552615,MA100_vs_CTR,-1.2558023601367667,0.0001291171561757,down_in_tested,1,2,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,-1.2558023601367667,,,1.1977721136398676,-1.1998930188812107,,0.0001291171561757,,,0.0001197014309876,0.0001934726054643,,down_in_tested,,,up_in_tested,down_in_tested,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
THG1L,ENSG00000113272,THG1L,THG1L,tRNA-histidine guanylyltransferase 1 like,darkgrey,darkgrey,MC100_vs_MC1;MC1_vs_CTR,2,2,0.0001197014309876,1.206613724799562,1.166650645447425,MC100_vs_MC1,-1.206613724799562,0.0001197014309876,down_in_tested,1,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.206613724799562,1.1266875660952878,,,,,0.0001197014309876,0.0005560487495615,,,,,down_in_tested,up_in_tested,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
PI4KA,ENSG00000241973,PI4KA,PI4KA,phosphatidylinositol 4-kinase alpha,dimgrey,dimgrey,MC100_vs_MC1,1,1,0.0001197014309876,1.078454793735233,1.078454793735233,MC100_vs_MC1,1.078454793735233,0.0001197014309876,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,1.078454793735233,,,,,,0.0001197014309876,,,,,,up_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
SREK1IP1,ENSG00000153006,SREK1IP1,SREK1IP1,SREK1 interacting protein 1,dimgrey,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,4,4,0.0001250364024668,1.3206768678767125,1.1543988904312212,MD1_vs_CTR,-1.3206768678767125,0.0001250364024668,down_in_tested,1,3,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,-1.0380316930380789,,,1.0411258998598665,-1.2177611009502272,-1.3206768678767125,0.0037017501233541,,,0.0024643803693473,0.0004503894853321,0.0001250364024668,down_in_tested,,,up_in_tested,down_in_tested,down_in_tested,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
RPL31,ENSG00000071082,RPL31,RPL31,ribosomal protein L31,dimgrey,dimgrey,MA100_vs_CTR;MC1_vs_CTR,2,2,0.0001289889673908,1.0136327432918228,1.0108079161724342,MA100_vs_CTR,-1.0136327432918228,0.0001515881606975,down_in_tested,0,2,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,-1.0136327432918228,,,,-1.0079830890530452,,0.0001515881606975,,,,0.0001289889673908,,down_in_tested,,,,down_in_tested,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
AKT1S1,ENSG00000204673,AKT1S1,AKT1S1,AKT1 substrate 1,darkgrey,darkgrey,MA100_vs_MA1;MC100_vs_MC1,2,2,0.0001314376772715,1.135715791712366,1.1094927139582955,MC100_vs_MC1,-1.135715791712366,0.0001314376772715,down_in_tested,1,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,1.0832696362042251,,-1.135715791712366,,,,0.0046140634738644,,0.0001314376772715,,,,up_in_tested,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
ATG16L2,ENSG00000168010,ATG16L2,ATG16L2,autophagy related 16 like 2,darkgrey,darkgrey,MA100_vs_CTR;MD1_vs_CTR,2,2,0.0001323943526603,1.2429950387184798,1.1587829400661573,MD1_vs_CTR,1.2429950387184798,0.0001323943526603,up_in_tested,2,0,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,1.0745708414138346,,,,,1.2429950387184798,0.0014492699803477,,,,,0.0001323943526603,up_in_tested,,,,,up_in_tested,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
CANX,ENSG00000127022,CANX,CANX,calnexin,dimgrey,dimgrey,MC1_vs_CTR,1,1,0.0001456058920508,1.0153520473413342,1.0153520473413342,MC1_vs_CTR,1.0153520473413342,0.0001456058920508,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,,1.0153520473413342,,,,,,0.0001456058920508,,,,,,up_in_tested,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
MAF1,ENSG00000179632,MAF1,MAF1,MAF1 negative regulator of RNA polymerase III,dimgrey,dimgrey,MC100_vs_MC1,1,1,0.0001476922619834,1.194640842260633,1.194640842260633,MC100_vs_MC1,-1.194640842260633,0.0001476922619834,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,-1.194640842260633,,,,,,0.0001476922619834,,,,,,down_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
CLCN5,ENSG00000171365,CLCN5,CLCN5,Cl-/H+ antiporter 5,darkgrey,darkgrey,MC100_vs_MC1,1,1,0.0001476943113249,1.2140311515135656,1.2140311515135656,MC100_vs_MC1,-1.2140311515135656,0.0001476943113249,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.2140311515135656,,,,,,0.0001476943113249,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
PPA1,ENSG00000180817,PPA1,PPA1,inorganic pyrophosphatase 1,dimgrey,dimgrey,MC100_vs_MC1;MC1_vs_CTR,2,2,0.0001515291238586,1.109496064895947,1.0823117322645932,MC100_vs_MC1,1.109496064895947,0.0001515291238586,up_in_tested,1,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,1.109496064895947,-1.055127399633239,,,,,0.0001515291238586,0.0005158061171822,,,,,up_in_tested,down_in_tested,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
SPRED2,ENSG00000198369,SPRED2,SPRED2,sprouty related EVH1 domain containing 2,mistyrose,mistyrose,MC1_vs_CTR,1,1,0.0001533087251967,1.1229060424354609,1.1229060424354609,MC1_vs_CTR,-1.1229060424354609,0.0001533087251967,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.3310821963795144,0.1426416782130668,0.5170760835223672,0.01784037558685446,,,,,-1.1229060424354609,,,,,,0.0001533087251967,,,,,,down_in_tested,,2130,38,3,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,True,False
TAGLN2,ENSG00000158710,TAGLN2,TAGLN2,transgelin 2,darkgrey,darkgrey,MC100_vs_MC1,1,1,0.0001548905872286,1.3668285674480267,1.3668285674480267,MC100_vs_MC1,-1.3668285674480267,0.0001548905872286,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.3668285674480267,,,,,,0.0001548905872286,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
PSMC1,ENSG00000100764,PSMC1,PSMC1,"proteasome 26S subunit, ATPase 1",gainsboro,gainsboro,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,0.000155335485982,1.6095657152019516,1.3107490072506964,MC100_vs_MC1,-1.6095657152019516,0.000155335485982,down_in_tested,2,1,deg_fraction,True,particle_size_um,-0.2764543534617769,0.2250855359964076,0.5934073221723475,0.04092526690391459,1.1586770203325487,,,-1.6095657152019516,1.1640042862175892,,0.0121528687736536,,,0.000155335485982,0.0105328279071967,,up_in_tested,,,down_in_tested,up_in_tested,,1124,46,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
CCM2,ENSG00000136280,CCM2,CCM2,CCM2 scaffold protein,darkgrey,darkgrey,MC100_vs_MC1,1,1,0.0001688701553389,1.03383560992803,1.03383560992803,MC100_vs_MC1,-1.03383560992803,0.0001688701553389,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.03383560992803,,,,,,0.0001688701553389,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
ZNF428,ENSG00000131116,ZNF428,ZNF428,zinc finger protein 428,dimgrey,dimgrey,MC100_vs_MC1,1,1,0.0001701313584681,1.5989514974253822,1.5989514974253822,MC100_vs_MC1,-1.5989514974253822,0.0001701313584681,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,-1.5989514974253822,,,,,,0.0001701313584681,,,,,,down_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
MEA1,ENSG00000124733,MEA1,MEA1,male-enhanced antigen 1,dimgrey,dimgrey,MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,3,3,0.0001722345065232,1.6173596438366584,1.288927640609243,MC100_vs_MC1,1.6173596438366584,0.0001722345065232,up_in_tested,1,2,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,1.6173596438366584,-1.0755687832845642,-1.1738544947065064,,,,0.0001722345065232,0.0216022213444939,0.0129852303235028,,,,up_in_tested,down_in_tested,down_in_tested,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
PRDX2,ENSG00000167815,PRDX2,PRDX2,peroxiredoxin 2,dimgrey,dimgrey,MC100_vs_MC1,1,1,0.0001761843786678,1.8974085861466785,1.8974085861466785,MC100_vs_MC1,1.8974085861466785,0.0001761843786678,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,1.8974085861466785,,,,,,0.0001761843786678,,,,,,up_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
TWF2,ENSG00000247596,TWF2,TWF2,twinfilin actin binding protein 2,dimgrey,dimgrey,MC100_vs_MC1,1,1,0.0001810659918521,1.4429639036721091,1.4429639036721091,MC100_vs_MC1,-1.4429639036721091,0.0001810659918521,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,-1.4429639036721091,,,,,,0.0001810659918521,,,,,,down_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
