module,corr_particle_size_um,pval_particle_size_um,padj_particle_size_um,significant_particle_size_um_padj005,significant_particle_size_um_padj010,corr_concentration_gL,pval_concentration_gL,padj_concentration_gL,significant_concentration_gL_padj005,significant_concentration_gL_padj010,corr_is_100nm,pval_is_100nm,padj_is_100nm,significant_is_100nm_padj005,significant_is_100nm_padj010
ME_maroon,-0.1645250770749106,0.4760553957563633,0.8641157742761592,False,False,0.13026855312192645,0.5735582559731249,0.9248779783818861,False,False,0.1645250770749106,0.4760553957563633,0.8641157742761592,False,False
ME_moccasin,-0.18191229868499328,0.4299952092401627,0.8641157742761592,False,False,0.19625486953784188,0.39387044591982073,0.782572631796815,False,False,0.18191229868499328,0.4299952092401627,0.8641157742761592,False,False
ME_navajowhite,0.0552373354747305,0.8120281110852453,0.8845814009155631,False,False,-0.284091041048031,0.21200834500609733,0.7452605743682884,False,False,-0.0552373354747305,0.8120281110852453,0.8845814009155631,False,False
ME_orange,-0.07955374806931789,0.7317626313151522,0.8845814009155631,False,False,-0.10535838543087815,0.6494565516657708,0.944664075150212,False,False,0.07955374806931789,0.7317626313151522,0.8845814009155631,False,False
ME_orangered,-0.18002795182096154,0.43486874267061665,0.8641157742761592,False,False,-0.018263088911483306,0.9373719317619587,0.9501072497234327,False,False,0.18002795182096154,0.43486874267061665,0.8641157742761592,False,False
ME_papayawhip,-0.21251716032509474,0.35503427680288624,0.8641157742761592,False,False,-0.23063341829375952,0.31450089081769916,0.7532171816286813,False,False,0.21251716032509474,0.35503427680288624,0.8641157742761592,False,False
ME_peachpuff,0.0259462467288189,0.911110243604392,0.9405008966238885,False,False,-0.05776252443036216,0.8035929364631225,0.9488208922130597,False,False,-0.0259462467288189,0.911110243604392,0.9405008966238885,False,False
ME_peru,0.05008658818291872,0.8292950633583405,0.8845814009155631,False,False,-0.1874899721711124,0.415741710642058,0.782572631796815,False,False,-0.05008658818291872,0.8292950633583405,0.8845814009155631,False,False
ME_red,-0.34465969191159834,0.12600686793911323,0.687597922271631,False,False,0.3062252157338977,0.17699264789811367,0.7452605743682884,False,False,0.3446596919115983,0.12600686793911323,0.687597922271631,False,False
ME_saddlebrown,0.07553349124734707,0.7448722566373631,0.8845814009155631,False,False,-0.014544292634321165,0.9501072497234327,0.9501072497234327,False,False,-0.07553349124734704,0.7448722566373631,0.8845814009155631,False,False
ME_sandybrown,0.18376045780777453,0.4252437133737701,0.8641157742761592,False,False,-0.06115651965995034,0.7922887644467389,0.9488208922130597,False,False,-0.18376045780777453,0.4252437133737701,0.8641157742761592,False,False
ME_seashell,-0.10144520709844833,0.6617153789166383,0.884426110005147,False,False,0.21336590458796578,0.3530705538884444,0.7532171816286813,False,False,0.10144520709844837,0.6617153789166383,0.884426110005147,False,False
ME_sienna,-0.15307728921524938,0.5076793236784979,0.8641157742761592,False,False,0.2757161212441619,0.22637710801714434,0.7452605743682884,False,False,0.1530772892152494,0.5076793236784979,0.8641157742761592,False,False
ME_silver,-0.34218963064505614,0.1289246104259308,0.687597922271631,False,False,0.04343197941412793,0.8517149990569344,0.9488208922130597,False,False,0.3421896306450561,0.1289246104259308,0.687597922271631,False,False
ME_tan,0.5941071750705977,0.004513299085832695,0.061992991944212324,False,True,-0.09509062078031898,0.6817998836913765,0.9485911425271325,False,False,-0.5941071750705976,0.004513299085832695,0.061992991944212324,False,True
