gene_id,dynamic_module,module,module_label
ENSG00000123473,darkgrey,darkgrey,7
ENSG00000123485,maroon,maroon,16
ENSG00000123496,dimgrey,dimgrey,11
ENSG00000123500,dimgrey,dimgrey,11
ENSG00000123505,gainsboro,gainsboro,13
ENSG00000123545,silver,silver,29
ENSG00000123552,gainsboro,gainsboro,13
ENSG00000123562,silver,silver,29
ENSG00000123570,dimgrey,dimgrey,11
ENSG00000123572,maroon,maroon,16
ENSG00000123575,silver,silver,29
ENSG00000123595,silver,silver,29
ENSG00000123600,orangered,orangered,20
ENSG00000123607,darkgrey,darkgrey,7
ENSG00000123609,darkgrey,darkgrey,7
ENSG00000123610,silver,silver,29
ENSG00000123612,silver,silver,29
ENSG00000123636,dimgrey,dimgrey,11
ENSG00000123643,darkgrey,darkgrey,7
ENSG00000123684,gainsboro,gainsboro,13
ENSG00000123685,dimgrey,dimgrey,11
ENSG00000123689,dimgrey,dimgrey,11
ENSG00000123700,darkgrey,darkgrey,7
ENSG00000123728,silver,silver,29
ENSG00000123737,dimgrey,dimgrey,11
ENSG00000123739,gainsboro,gainsboro,13
ENSG00000123810,dimgrey,dimgrey,11
ENSG00000123815,darkgrey,darkgrey,7
ENSG00000123836,darkgrey,darkgrey,7
ENSG00000123908,darkgrey,darkgrey,7
ENSG00000123933,darkgrey,darkgrey,7
ENSG00000123975,silver,silver,29
ENSG00000123983,darkgrey,darkgrey,7
ENSG00000123989,darkgrey,darkgrey,7
ENSG00000123992,dimgrey,dimgrey,11
ENSG00000124006,darkgrey,darkgrey,7
ENSG00000124067,brown,brown,3
ENSG00000124074,dimgrey,dimgrey,11
ENSG00000124091,silver,silver,29
ENSG00000124098,dimgrey,dimgrey,11
ENSG00000124104,silver,silver,29
ENSG00000124120,silver,silver,29
ENSG00000124126,darkgrey,darkgrey,7
ENSG00000124140,dimgrey,dimgrey,11
ENSG00000124145,darkgrey,darkgrey,7
ENSG00000124151,dimgrey,dimgrey,11
ENSG00000124155,darkgrey,darkgrey,7
ENSG00000124160,dimgrey,dimgrey,11
ENSG00000124164,darkgrey,darkgrey,7
ENSG00000124171,darkgrey,darkgrey,7
ENSG00000124172,dimgrey,dimgrey,11
ENSG00000124177,darkgrey,darkgrey,7
ENSG00000124181,darkgrey,darkgrey,7
ENSG00000124191,darkgrey,darkgrey,7
ENSG00000124193,dimgrey,dimgrey,11
ENSG00000124198,gainsboro,gainsboro,13
ENSG00000124201,silver,silver,29
ENSG00000124207,dimgrey,dimgrey,11
ENSG00000124209,darkgrey,darkgrey,7
ENSG00000124214,darkgrey,darkgrey,7
ENSG00000124216,lightcoral,lightcoral,14
ENSG00000124217,dimgrey,dimgrey,11
ENSG00000124222,dimgrey,dimgrey,11
ENSG00000124225,darkgrey,darkgrey,7
ENSG00000124226,dimgrey,dimgrey,11
ENSG00000124228,darkgrey,darkgrey,7
ENSG00000124243,darkgrey,darkgrey,7
ENSG00000124257,white,white,31
ENSG00000124275,dimgrey,dimgrey,11
ENSG00000124279,dimgrey,dimgrey,11
ENSG00000124299,dimgrey,dimgrey,11
ENSG00000124313,darkgrey,darkgrey,7
ENSG00000124343,darkgrey,darkgrey,7
ENSG00000124356,maroon,maroon,16
ENSG00000124357,dimgrey,dimgrey,11
ENSG00000124370,dimgrey,dimgrey,11
ENSG00000124374,dimgrey,dimgrey,11
ENSG00000124380,dimgrey,dimgrey,11
ENSG00000124383,dimgrey,dimgrey,11
ENSG00000124406,silver,silver,29
ENSG00000124422,darkgrey,darkgrey,7
ENSG00000124444,brown,brown,3
ENSG00000124459,silver,silver,29
ENSG00000124466,dimgrey,dimgrey,11
ENSG00000124479,maroon,maroon,16
ENSG00000124486,silver,silver,29
ENSG00000124496,dimgrey,dimgrey,11
ENSG00000124508,dimgrey,dimgrey,11
ENSG00000124523,darkgrey,darkgrey,7
ENSG00000124532,silver,silver,29
ENSG00000124535,dimgrey,dimgrey,11
ENSG00000124541,dimgrey,dimgrey,11
ENSG00000124562,dimgrey,dimgrey,11
ENSG00000124570,silver,silver,29
ENSG00000124571,gainsboro,gainsboro,13
ENSG00000124574,dimgrey,dimgrey,11
ENSG00000124575,gainsboro,gainsboro,13
ENSG00000124587,dimgrey,dimgrey,11
ENSG00000124588,dimgrey,dimgrey,11
ENSG00000124596,dimgrey,dimgrey,11
ENSG00000124608,lightcoral,lightcoral,14
ENSG00000124610,brown,brown,3
ENSG00000124613,dimgrey,dimgrey,11
ENSG00000124614,gainsboro,gainsboro,13
ENSG00000124615,dimgrey,dimgrey,11
ENSG00000124635,darkgrey,darkgrey,7
ENSG00000124641,white,white,31
ENSG00000124659,dimgrey,dimgrey,11
ENSG00000124688,gainsboro,gainsboro,13
ENSG00000124702,dimgrey,dimgrey,11
ENSG00000124733,dimgrey,dimgrey,11
ENSG00000124762,darkgrey,darkgrey,7
ENSG00000124766,darkgrey,darkgrey,7
ENSG00000124767,silver,silver,29
ENSG00000124772,dimgrey,dimgrey,11
ENSG00000124782,lightcoral,lightcoral,14
ENSG00000124783,dimgrey,dimgrey,11
ENSG00000124784,darkgrey,darkgrey,7
ENSG00000124786,dimgrey,dimgrey,11
ENSG00000124787,dimgrey,dimgrey,11
ENSG00000124788,gainsboro,gainsboro,13
ENSG00000124789,dimgrey,dimgrey,11
ENSG00000124795,gainsboro,gainsboro,13
ENSG00000124802,dimgrey,dimgrey,11
ENSG00000124813,brown,brown,3
ENSG00000124831,gainsboro,gainsboro,13
ENSG00000124839,silver,silver,29
ENSG00000124882,dimgrey,dimgrey,11
ENSG00000124920,silver,silver,29
ENSG00000124942,dimgrey,dimgrey,11
ENSG00000125037,dimgrey,dimgrey,11
ENSG00000125089,darkgrey,darkgrey,7
ENSG00000125107,gainsboro,gainsboro,13
ENSG00000125124,darkgrey,darkgrey,7
ENSG00000125144,dimgrey,dimgrey,11
ENSG00000125148,silver,silver,29
ENSG00000125149,dimgrey,dimgrey,11
ENSG00000125166,darkgrey,darkgrey,7
ENSG00000125170,dimgrey,dimgrey,11
ENSG00000125245,maroon,maroon,16
ENSG00000125246,white,white,31
ENSG00000125247,dimgrey,dimgrey,11
ENSG00000125249,silver,silver,29
ENSG00000125257,maroon,maroon,16
ENSG00000125266,dimgrey,dimgrey,11
ENSG00000125304,darkgrey,darkgrey,7
ENSG00000125319,dimgrey,dimgrey,11
ENSG00000125347,darkgrey,darkgrey,7
ENSG00000125351,dimgrey,dimgrey,11
ENSG00000125352,maroon,maroon,16
ENSG00000125354,gainsboro,gainsboro,13
ENSG00000125356,dimgrey,dimgrey,11
ENSG00000125375,lightcoral,lightcoral,14
ENSG00000125378,darkgrey,darkgrey,7
ENSG00000125384,dimgrey,dimgrey,11
ENSG00000125386,darkgrey,darkgrey,7
ENSG00000125388,dimgrey,dimgrey,11
ENSG00000125398,dimgrey,dimgrey,11
ENSG00000125430,dimgrey,dimgrey,11
ENSG00000125434,white,white,31
ENSG00000125445,dimgrey,dimgrey,11
ENSG00000125447,silver,silver,29
ENSG00000125449,maroon,maroon,16
ENSG00000125450,darkgrey,darkgrey,7
ENSG00000125457,dimgrey,dimgrey,11
ENSG00000125458,darkgrey,darkgrey,7
ENSG00000125459,antiquewhite,antiquewhite,0
ENSG00000125482,gainsboro,gainsboro,13
ENSG00000125484,darkgrey,darkgrey,7
ENSG00000125485,silver,silver,29
ENSG00000125503,darkgrey,darkgrey,7
ENSG00000125505,sandybrown,sandybrown,26
ENSG00000125520,maroon,maroon,16
ENSG00000125531,darkgrey,darkgrey,7
ENSG00000125534,darkgrey,darkgrey,7
ENSG00000125538,gainsboro,gainsboro,13
ENSG00000125611,dimgrey,dimgrey,11
ENSG00000125618,gainsboro,gainsboro,13
ENSG00000125629,dimgrey,dimgrey,11
ENSG00000125630,silver,silver,29
ENSG00000125633,gainsboro,gainsboro,13
ENSG00000125637,white,white,31
ENSG00000125648,dimgrey,dimgrey,11
ENSG00000125650,lightcoral,lightcoral,14
ENSG00000125651,white,white,31
ENSG00000125652,silver,silver,29
ENSG00000125656,dimgrey,dimgrey,11
ENSG00000125657,dimgrey,dimgrey,11
ENSG00000125676,gainsboro,gainsboro,13
ENSG00000125686,darkgrey,darkgrey,7
ENSG00000125691,dimgrey,dimgrey,11
ENSG00000125703,dimgrey,dimgrey,11
ENSG00000125733,dimgrey,dimgrey,11
ENSG00000125734,silver,silver,29
ENSG00000125740,silver,silver,29
ENSG00000125741,darkgrey,darkgrey,7
ENSG00000125743,dimgrey,dimgrey,11
ENSG00000125744,gainsboro,gainsboro,13
ENSG00000125746,dimgrey,dimgrey,11
ENSG00000125753,darkgrey,darkgrey,7
ENSG00000125755,dimgrey,dimgrey,11
ENSG00000125772,darkgrey,darkgrey,7
ENSG00000125775,dimgrey,dimgrey,11
ENSG00000125779,darkgrey,darkgrey,7
ENSG00000125812,dimgrey,dimgrey,11
ENSG00000125814,dimgrey,dimgrey,11
ENSG00000125817,dimgrey,dimgrey,11
ENSG00000125818,silver,silver,29
ENSG00000125821,darkgrey,darkgrey,7
ENSG00000125826,darkgrey,darkgrey,7
ENSG00000125827,gainsboro,gainsboro,13
ENSG00000125834,silver,silver,29
ENSG00000125835,darkgrey,darkgrey,7
ENSG00000125841,darkgrey,darkgrey,7
ENSG00000125843,coral,coral,6
ENSG00000125844,dimgrey,dimgrey,11
ENSG00000125845,darkgrey,darkgrey,7
ENSG00000125846,dimgrey,dimgrey,11
ENSG00000125848,maroon,maroon,16
ENSG00000125863,dimgrey,dimgrey,11
ENSG00000125864,sandybrown,sandybrown,26
ENSG00000125868,red,red,24
ENSG00000125869,dimgrey,dimgrey,11
ENSG00000125870,silver,silver,29
ENSG00000125871,dimgrey,dimgrey,11
ENSG00000125875,darkgrey,darkgrey,7
ENSG00000125877,darkgrey,darkgrey,7
ENSG00000125885,dimgrey,dimgrey,11
ENSG00000125898,silver,silver,29
ENSG00000125901,darkgrey,darkgrey,7
ENSG00000125912,darkgrey,darkgrey,7
ENSG00000125944,darkred,darkred,9
ENSG00000125952,darkgrey,darkgrey,7
ENSG00000125962,silver,silver,29
ENSG00000125965,dimgrey,dimgrey,11
ENSG00000125967,red,red,24
ENSG00000125968,darkgrey,darkgrey,7
ENSG00000125970,silver,silver,29
ENSG00000125971,silver,silver,29
ENSG00000125977,gainsboro,gainsboro,13
ENSG00000125991,silver,silver,29
ENSG00000125995,dimgrey,dimgrey,11
ENSG00000126001,darkgrey,darkgrey,7
ENSG00000126003,silver,silver,29
ENSG00000126005,darkgrey,darkgrey,7
ENSG00000126010,silver,silver,29
ENSG00000126012,darkgrey,darkgrey,7
ENSG00000126016,brown,brown,3
ENSG00000126062,dimgrey,dimgrey,11
ENSG00000126067,silver,silver,29
ENSG00000126070,gainsboro,gainsboro,13
ENSG00000126088,dimgrey,dimgrey,11
ENSG00000126091,darkgrey,darkgrey,7
ENSG00000126106,darkgrey,darkgrey,7
ENSG00000126107,dimgrey,dimgrey,11
ENSG00000126214,dimgrey,dimgrey,11
ENSG00000126215,darkgrey,darkgrey,7
ENSG00000126216,darkgrey,darkgrey,7
ENSG00000126217,darkgrey,darkgrey,7
ENSG00000126218,maroon,maroon,16
ENSG00000126226,silver,silver,29
ENSG00000126243,darkgrey,darkgrey,7
ENSG00000126247,darkgrey,darkgrey,7
ENSG00000126249,silver,silver,29
ENSG00000126254,dimgrey,dimgrey,11
ENSG00000126261,silver,silver,29
ENSG00000126264,darkgrey,darkgrey,7
ENSG00000126267,dimgrey,dimgrey,11
ENSG00000126351,darkgrey,darkgrey,7
ENSG00000126391,darkgrey,darkgrey,7
ENSG00000126432,darkgrey,darkgrey,7
ENSG00000126453,darkgrey,darkgrey,7
ENSG00000126456,silver,silver,29
ENSG00000126457,darkgrey,darkgrey,7
ENSG00000126458,darkgrey,darkgrey,7
ENSG00000126461,dimgrey,dimgrey,11
ENSG00000126464,darkgrey,darkgrey,7
ENSG00000126522,darkgrey,darkgrey,7
ENSG00000126524,dimgrey,dimgrey,11
ENSG00000126561,darkgrey,darkgrey,7
ENSG00000126562,dimgrey,dimgrey,11
ENSG00000126581,darkgrey,darkgrey,7
ENSG00000126602,silver,silver,29
ENSG00000126653,gainsboro,gainsboro,13
ENSG00000126698,dimgrey,dimgrey,11
ENSG00000126705,darkgrey,darkgrey,7
ENSG00000126733,dimgrey,dimgrey,11
ENSG00000126746,silver,silver,29
ENSG00000126749,darkgrey,darkgrey,7
ENSG00000126752,darkgrey,darkgrey,7
ENSG00000126756,dimgrey,dimgrey,11
ENSG00000126767,darkgrey,darkgrey,7
ENSG00000126768,dimgrey,dimgrey,11
ENSG00000126773,silver,silver,29
ENSG00000126775,gainsboro,gainsboro,13
ENSG00000126777,darkred,darkred,9
ENSG00000126778,darkgrey,darkgrey,7
ENSG00000126785,dimgrey,dimgrey,11
ENSG00000126787,silver,silver,29
ENSG00000126790,dimgrey,dimgrey,11
ENSG00000126803,silver,silver,29
ENSG00000126804,gainsboro,gainsboro,13
ENSG00000126814,darkgrey,darkgrey,7
ENSG00000126822,darkgrey,darkgrey,7
ENSG00000126858,darkred,darkred,9
ENSG00000126870,red,red,24
ENSG00000126878,darkgrey,darkgrey,7
ENSG00000126882,dimgrey,dimgrey,11
ENSG00000126883,darkgrey,darkgrey,7
ENSG00000126903,dimgrey,dimgrey,11
ENSG00000126934,darkgrey,darkgrey,7
ENSG00000126945,white,white,31
ENSG00000126947,silver,silver,29
ENSG00000126950,darkgrey,darkgrey,7
ENSG00000126953,dimgrey,dimgrey,11
ENSG00000126970,darkgrey,darkgrey,7
ENSG00000127022,dimgrey,dimgrey,11
ENSG00000127054,dimgrey,dimgrey,11
ENSG00000127081,white,white,31
ENSG00000127124,silver,silver,29
ENSG00000127125,dimgrey,dimgrey,11
ENSG00000127184,dimgrey,dimgrey,11
ENSG00000127191,firebrick,firebrick,12
ENSG00000127220,papayawhip,papayawhip,21
ENSG00000127311,silver,silver,29
ENSG00000127314,dimgrey,dimgrey,11
ENSG00000127328,dimgrey,dimgrey,11
ENSG00000127329,dimgrey,dimgrey,11
ENSG00000127334,dimgrey,dimgrey,11
ENSG00000127337,darkgrey,darkgrey,7
ENSG00000127364,darkgrey,darkgrey,7
ENSG00000127415,darkgrey,darkgrey,7
ENSG00000127418,darkgrey,darkgrey,7
ENSG00000127419,darkgrey,darkgrey,7
ENSG00000127423,silver,silver,29
ENSG00000127445,darkgrey,darkgrey,7
