gene_id,gene_symbol,gene_name,notfound,gene_label
ENSG00000147576,ADHFE1,alcohol dehydrogenase iron containing 1,False,ADHFE1
ENSG00000147586,MRPS28,mitochondrial ribosomal protein S28,False,MRPS28
ENSG00000147592,LACTB2,lactamase beta 2,False,LACTB2
ENSG00000147601,TERF1,telomeric repeat binding factor 1,False,TERF1
ENSG00000147604,RPL7,ribosomal protein L7,False,RPL7
ENSG00000147642,SYBU,syntabulin,False,SYBU
ENSG00000147649,MTDH,metadherin,False,MTDH
ENSG00000147650,LRP12,LDL receptor related protein 12,False,LRP12
ENSG00000147654,EBAG9,estrogen receptor binding site associated antigen 9,False,EBAG9
ENSG00000147669,POLR2K,"RNA polymerase II, I and III subunit K",False,POLR2K
ENSG00000147677,EIF3H,eukaryotic translation initiation factor 3 subunit H,False,EIF3H
ENSG00000147679,UTP23,UTP23 small subunit processome component,False,UTP23
ENSG00000147684,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9,False,NDUFB9
ENSG00000147687,TATDN1,TatD DNase domain containing 1,False,TATDN1
ENSG00000147789,ZNF7,zinc finger protein 7,False,ZNF7
ENSG00000147799,ARHGAP39,Rho GTPase activating protein 39,False,ARHGAP39
ENSG00000147804,SLC39A4,solute carrier family 39 member 4,False,SLC39A4
ENSG00000147813,NAPRT,nicotinate phosphoribosyltransferase,False,NAPRT
ENSG00000147852,VLDLR,very low density lipoprotein receptor,False,VLDLR
ENSG00000147853,AK3,adenylate kinase 3,False,AK3
ENSG00000147854,UHRF2,ubiquitin like with PHD and ring finger domains 2,False,UHRF2
ENSG00000147862,NFIB,nuclear factor I B,False,NFIB
ENSG00000147872,PLIN2,perilipin 2,False,PLIN2
ENSG00000147874,HAUS6,HAUS augmin like complex subunit 6,False,HAUS6
ENSG00000147883,CDKN2B,cyclin dependent kinase inhibitor 2B,False,CDKN2B
ENSG00000147889,CDKN2A,cyclin dependent kinase inhibitor 2A,False,CDKN2A
ENSG00000147894,C9orf72,C9orf72-SMCR8 complex subunit,False,C9orf72
ENSG00000147905,ZCCHC7,zinc finger CCHC-type containing 7,False,ZCCHC7
ENSG00000147912,FBXO10,F-box protein 10,False,FBXO10
ENSG00000147955,SIGMAR1,sigma non-opioid intracellular receptor 1,False,SIGMAR1
ENSG00000147996,ZNG1E,Zn regulated GTPase metalloprotein activator 1E,False,ZNG1E
ENSG00000148019,CEP78,centrosomal protein 78,False,CEP78
ENSG00000148057,IDNK,IDNK gluconokinase,False,IDNK
ENSG00000148082,SHC3,SHC adaptor protein 3,False,SHC3
ENSG00000148090,AUH,AU RNA binding methylglutaconyl-CoA hydratase,False,AUH
ENSG00000148110,SLC71A2,solute carrier family 71 member 2,False,SLC71A2
ENSG00000148120,AOPEP,aminopeptidase O (putative),False,AOPEP
ENSG00000148143,ZNF462,zinc finger protein 462,False,ZNF462
ENSG00000148153,INIP,INTS3 and NABP interacting protein,False,INIP
ENSG00000148154,UGCG,UDP-glucose ceramide glucosyltransferase,False,UGCG
ENSG00000148158,SNX30,sorting nexin family member 30,False,SNX30
ENSG00000148175,STOM,stomatin,False,STOM
ENSG00000148180,GSN,gelsolin,False,GSN
