gene_id,gene_symbol,gene_label,gene_name,dynamic_module,module,module_label
ENSG00000164318,EGFLAM,EGFLAM,"EGF like, fibronectin type III and laminin G domains",dimgrey,dimgrey,4
ENSG00000164323,CFAP97,CFAP97,cilia and flagella associated protein 97,whitesmoke,whitesmoke,13
ENSG00000164327,RICTOR,RICTOR,RPTOR independent companion of MTOR complex 2,darkgrey,darkgrey,1
ENSG00000164329,TENT2,TENT2,terminal nucleotidyltransferase 2,dimgrey,dimgrey,4
ENSG00000164330,EBF1,EBF1,EBF transcription factor 1,darkgrey,darkgrey,1
ENSG00000164331,ANKRA2,ANKRA2,ankyrin repeat family A member 2,lightcoral,lightcoral,7
ENSG00000164332,UBLCP1,UBLCP1,ubiquitin like domain containing CTD phosphatase 1,dimgrey,dimgrey,4
ENSG00000164338,UTP15,UTP15,UTP15 small subunit processome component,dimgrey,dimgrey,4
ENSG00000164342,TLR3,TLR3,toll like receptor 3,brown,brown,0
ENSG00000164346,NSA2,NSA2,NSA2 ribosome biogenesis factor,brown,brown,0
ENSG00000164347,GFM2,GFM2,GTP dependent ribosome recycling factor mitochondrial 2,dimgrey,dimgrey,4
ENSG00000164366,CCDC127,CCDC127,coiled-coil domain containing 127,darkgrey,darkgrey,1
ENSG00000164379,FOXQ1,FOXQ1,forkhead box Q1,darkgrey,darkgrey,1
ENSG00000164402,SEPTIN8,SEPTIN8,septin 8,darkgrey,darkgrey,1
ENSG00000164403,SHROOM1,SHROOM1,shroom family member 1,darkgrey,darkgrey,1
ENSG00000164405,UQCRQ,UQCRQ,ubiquinol-cytochrome c reductase complex III subunit VII,dimgrey,dimgrey,4
ENSG00000164406,LEAP2,LEAP2,liver enriched antimicrobial peptide 2,darkgrey,darkgrey,1
ENSG00000164414,SLC35A1,SLC35A1,solute carrier family 35 member A1,dimgrey,dimgrey,4
ENSG00000164418,GRIK2,GRIK2,glutamate ionotropic receptor kainate type subunit 2,dimgrey,dimgrey,4
