gene_id,dynamic_module,module,module_label
ENSG00000117010,maroon,maroon,9
ENSG00000117016,dimgrey,dimgrey,4
ENSG00000117020,dimgrey,dimgrey,4
ENSG00000117036,indianred,indianred,6
ENSG00000117054,dimgrey,dimgrey,4
ENSG00000117069,indianred,indianred,6
ENSG00000117114,dimgrey,dimgrey,4
ENSG00000117118,dimgrey,dimgrey,4
ENSG00000117133,dimgrey,dimgrey,4
ENSG00000117139,darkgrey,darkgrey,1
ENSG00000117143,dimgrey,dimgrey,4
ENSG00000117151,dimgrey,dimgrey,4
ENSG00000117152,lightgrey,lightgrey,8
ENSG00000117153,darkgrey,darkgrey,1
ENSG00000117155,dimgrey,dimgrey,4
ENSG00000117174,darkgrey,darkgrey,1
ENSG00000117222,darkgrey,darkgrey,1
ENSG00000117226,dimgrey,dimgrey,4
ENSG00000117228,darkgrey,darkgrey,1
ENSG00000117245,darkgrey,darkgrey,1
ENSG00000117262,dimgrey,dimgrey,4
ENSG00000117280,darksalmon,darksalmon,3
ENSG00000117298,darkgrey,darkgrey,1
ENSG00000117305,brown,brown,0
ENSG00000117308,darkgrey,darkgrey,1
ENSG00000117318,dimgrey,dimgrey,4
ENSG00000117335,dimgrey,dimgrey,4
ENSG00000117360,darkgrey,darkgrey,1
ENSG00000117362,darkgrey,darkgrey,1
ENSG00000117385,darkgrey,darkgrey,1
ENSG00000117394,whitesmoke,whitesmoke,13
ENSG00000117395,brown,brown,0
ENSG00000117399,dimgrey,dimgrey,4
ENSG00000117408,dimgrey,dimgrey,4
ENSG00000117410,darkgrey,darkgrey,1
ENSG00000117411,darkgrey,darkgrey,1
ENSG00000117419,dimgrey,dimgrey,4
ENSG00000117425,brown,brown,0
ENSG00000117448,dimgrey,dimgrey,4
ENSG00000117450,dimgrey,dimgrey,4
ENSG00000117461,darkgrey,darkgrey,1
ENSG00000117475,dimgrey,dimgrey,4
ENSG00000117477,dimgrey,dimgrey,4
ENSG00000117479,maroon,maroon,9
ENSG00000117481,dimgrey,dimgrey,4
ENSG00000117500,dimgrey,dimgrey,4
ENSG00000117505,dimgrey,dimgrey,4
ENSG00000117519,darkgrey,darkgrey,1
ENSG00000117523,snow,snow,12
ENSG00000117525,darkgrey,darkgrey,1
ENSG00000117528,dimgrey,dimgrey,4
ENSG00000117533,dimgrey,dimgrey,4
ENSG00000117543,darkgrey,darkgrey,1
ENSG00000117569,lightcoral,lightcoral,7
ENSG00000117586,dimgrey,dimgrey,4
ENSG00000117592,dimgrey,dimgrey,4
ENSG00000117593,dimgrey,dimgrey,4
ENSG00000117594,maroon,maroon,9
