node_name,gene_id,gene_symbol,string_gene_label,gene_name,modules,contrasts,n_selected_rows,n_contrasts,min_padj,max_abs_log2FoldChange,mean_abs_log2FoldChange,strongest_contrast,strongest_log2FoldChange,strongest_padj,strongest_regulation,n_up_rows,n_down_rows,log2FC__MA100_vs_CTR,log2FC__MA100_vs_MA1,log2FC__MC100_vs_MC1,log2FC__MC1_vs_CTR,log2FC__MD1_vs_CTR,padj__MA100_vs_CTR,padj__MA100_vs_MA1,padj__MC100_vs_MC1,padj__MC1_vs_CTR,padj__MD1_vs_CTR,regulation__MA100_vs_CTR,regulation__MA100_vs_MA1,regulation__MC100_vs_MC1,regulation__MC1_vs_CTR,regulation__MD1_vs_CTR
MEN1,ENSG00000133895,MEN1,MEN1,menin 1,darkgrey,MC100_vs_MC1,1,1,1.3876322998138646e-06,1.0095147018753292,1.0095147018753292,MC100_vs_MC1,-1.0095147018753292,1.3876322998138646e-06,up_in_reference,0,1,,,-1.0095147018753292,,,,,1.3876322998138646e-06,,,,,up_in_reference,,
PPP3R1,ENSG00000221823,PPP3R1,PPP3R1,"protein phosphatase 3 regulatory subunit B, alpha",darkgrey,MC100_vs_MC1;MD1_vs_CTR,2,2,1.5402260583364855e-06,1.0362514110643872,1.0244683471491047,MD1_vs_CTR,1.0362514110643872,1.714314063250378e-06,up_in_tested,1,1,,,-1.0126852832338222,,1.0362514110643872,,,1.5402260583364855e-06,,1.714314063250378e-06,,,up_in_reference,,up_in_tested
PIP4K2C,ENSG00000166908,PIP4K2C,PIP4K2C,phosphatidylinositol-5-phosphate 4-kinase type 2 gamma,darkgrey,MD1_vs_CTR,1,1,1.6296605612763231e-06,1.4133034022597692,1.4133034022597692,MD1_vs_CTR,1.4133034022597692,1.6296605612763231e-06,up_in_tested,1,0,,,,,1.4133034022597692,,,,,1.6296605612763231e-06,,,,,up_in_tested
ZNF865,ENSG00000261221,ZNF865,ZNF865,zinc finger protein 865,darkgrey,MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR,3,3,1.6632386437202905e-06,1.7489688875487577,1.418514608041278,MC100_vs_MC1,-1.7489688875487577,1.6632386437202905e-06,up_in_reference,2,1,,1.2595112926399887,-1.7489688875487577,1.247063643935088,,,0.00906423086175,1.6632386437202905e-06,0.001267198743205,,,up_in_tested,up_in_reference,up_in_tested,
NDC80,ENSG00000080986,NDC80,NDC80,NDC80 kinetochore complex component,dimgrey,MD1_vs_CTR,1,1,1.714314063250378e-06,1.063025520238048,1.063025520238048,MD1_vs_CTR,-1.063025520238048,1.714314063250378e-06,up_in_reference,0,1,,,,,-1.063025520238048,,,,,1.714314063250378e-06,,,,,up_in_reference
GNAS,ENSG00000087460,GNAS,GNAS,GNAS complex locus,dimgrey,MD1_vs_CTR,1,1,1.7693403091592214e-06,1.0177233378615942,1.0177233378615942,MD1_vs_CTR,-1.0177233378615942,1.7693403091592214e-06,up_in_reference,0,1,,,,,-1.0177233378615942,,,,,1.7693403091592214e-06,,,,,up_in_reference
SMARCD2,ENSG00000108604,SMARCD2,SMARCD2,SWI/SNF related BAF chromatin remodeling complex subunit D2,darkgrey,MC100_vs_MC1,1,1,1.8539801697403084e-06,1.222714266481183,1.222714266481183,MC100_vs_MC1,-1.222714266481183,1.8539801697403084e-06,up_in_reference,0,1,,,-1.222714266481183,,,,,1.8539801697403084e-06,,,,,up_in_reference,,
NUCB1,ENSG00000104805,NUCB1,NUCB1,nucleobindin 1,darkgrey,MC100_vs_MC1,1,1,1.9302291337609853e-06,1.0108770041160495,1.0108770041160495,MC100_vs_MC1,-1.0108770041160495,1.9302291337609853e-06,up_in_reference,0,1,,,-1.0108770041160495,,,,,1.9302291337609853e-06,,,,,up_in_reference,,
PRMT1,ENSG00000126457,PRMT1,PRMT1,protein arginine methyltransferase 1,darkgrey,MC100_vs_MC1,1,1,1.993288210448164e-06,1.3708423547022386,1.3708423547022386,MC100_vs_MC1,-1.3708423547022386,1.993288210448164e-06,up_in_reference,0,1,,,-1.3708423547022386,,,,,1.993288210448164e-06,,,,,up_in_reference,,
RPS26,ENSG00000197728,RPS26,RPS26,ribosomal protein S26,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,4,4,2.45343861860602e-06,1.4521888448235445,1.2078442930365603,MD1_vs_CTR,-1.4521888448235445,2.45343861860602e-06,up_in_reference,1,3,-1.2120039115435353,,1.1340766613408262,-1.0331077544383354,-1.4521888448235445,0.0001495577471187,,0.0002089102493379,0.0011740278001632,2.45343861860602e-06,up_in_reference,,up_in_tested,up_in_reference,up_in_reference
