gene_id,gene_symbol,gene_name,contrast,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,direction,dynamic_module,module,module_label,abs_log2FoldChange,is_priority_contrast,is_deg_priority,regulation,string_gene_label
ENSG00000157349,DDX19B,DEAD-box helicase 19B,MC1_vs_CTR,98.36033886241349,-1.986694627130674,0.4703587706338465,-4.223785652924983,2.402325426644452e-05,0.0007978492330413,True,up_in_CTR,dimgrey,dimgrey,10,1.986694627130674,True,True,down_in_tested,DDX19B
ENSG00000198888,MT-ND1,NADH dehydrogenase subunit 1,MC1_vs_CTR,38618.69869721848,-1.3183265332662286,0.3126679263307471,-4.216379174983472,2.482562025558798e-05,0.0008150921327262,True,up_in_CTR,dimgrey,dimgrey,10,1.3183265332662286,True,True,down_in_tested,MT-ND1
ENSG00000137193,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase",MC1_vs_CTR,321.1353262732337,1.1747943295526773,0.2798530068817779,4.197897827301036,2.694041209430308e-05,0.0008680240986354,True,up_in_MC1,darkgrey,darkgrey,7,1.1747943295526773,True,True,up_in_tested,PIM1
ENSG00000244038,DDOST,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit,MC1_vs_CTR,89.19472661647252,-1.838634118370709,0.438267279546992,-4.195234744129619,2.7258912693809106e-05,0.0008717804115223,True,up_in_CTR,dimgrey,dimgrey,10,1.838634118370709,True,True,down_in_tested,DDOST
ENSG00000143756,FBXO28,F-box protein 28,MC1_vs_CTR,218.27640134901512,-1.1490039878293443,0.2743799985663417,-4.187637560438026,2.818731777895183e-05,0.0008981457159455,True,up_in_CTR,mistyrose,mistyrose,17,1.1490039878293443,True,True,down_in_tested,FBXO28
ENSG00000174705,SH3PXD2B,SH3 and PX domains 2B,MC1_vs_CTR,329.8011167088069,1.0447663051960163,0.2499219622780076,4.180370127031259,2.9103499414126013e-05,0.0009138498816035,True,up_in_MC1,darkgrey,darkgrey,7,1.0447663051960163,True,True,up_in_tested,SH3PXD2B
ENSG00000125746,EML2,EMAP like 2,MC1_vs_CTR,1368.2437222800636,1.3104823467800168,0.315015372865046,4.160058396075271,3.181662349927395e-05,0.0009673821968881,True,up_in_MC1,dimgrey,dimgrey,10,1.3104823467800168,True,True,up_in_tested,EML2
ENSG00000138459,SLC35A5,solute carrier family 35 member A5,MC1_vs_CTR,281.58992980246893,-1.091330038580833,0.2638714148728978,-4.135840326268412,3.536580496520448e-05,0.0010458105942444,True,up_in_CTR,dimgrey,dimgrey,10,1.091330038580833,True,True,down_in_tested,SLC35A5
ENSG00000157193,LRP8,LDL receptor related protein 8,MC1_vs_CTR,314.2485993822479,1.0440984444172623,0.2527869282164311,4.130349823798349,3.6221164365794566e-05,0.001063842701696,True,up_in_MC1,dimgrey,dimgrey,10,1.0440984444172623,True,True,up_in_tested,LRP8
ENSG00000198763,MT-ND2,NADH dehydrogenase subunit 2,MC1_vs_CTR,37494.99886582763,-1.1454886901272607,0.2780550437442967,-4.119647227764975,3.7945290401406335e-05,0.0010958447579135,True,up_in_CTR,gainsboro,gainsboro,12,1.1454886901272607,True,True,down_in_tested,MT-ND2
ENSG00000197728,RPS26,ribosomal protein S26,MC1_vs_CTR,3114.912091489919,-1.0331687918339856,0.2519053209519398,-4.101417103575595,4.1062761401178266e-05,0.0011740958433747,True,up_in_CTR,dimgrey,dimgrey,10,1.0331687918339856,True,True,down_in_tested,RPS26
ENSG00000142669,SH3BGRL3,SH3 domain binding glutamate rich protein like 3,MC1_vs_CTR,685.4690517344625,-1.4072445526727475,0.3451736309670087,-4.076917894134417,4.563659852755114e-05,0.0012630513727096,True,up_in_CTR,dimgrey,dimgrey,10,1.4072445526727475,True,True,down_in_tested,SH3BGRL3
ENSG00000261221,ZNF865,zinc finger protein 865,MC1_vs_CTR,308.60479211925525,1.2469743552150794,0.3060434170792877,4.074501477978274,4.611302042282433e-05,0.0012650794041042,True,up_in_MC1,darkgrey,darkgrey,7,1.2469743552150794,True,True,up_in_tested,ZNF865
