module,corr_particle_size_um,pval_particle_size_um,padj_particle_size_um,significant_particle_size_um_padj005,significant_particle_size_um_padj010,corr_concentration_gL,pval_concentration_gL,padj_concentration_gL,significant_concentration_gL_padj005,significant_concentration_gL_padj010,corr_is_100nm,pval_is_100nm,padj_is_100nm,significant_is_100nm_padj005,significant_is_100nm_padj010
ME_maroon,-0.1625053819002606,0.481561521185815,0.7758491174660352,False,False,0.12756830094983293,0.5815960989058058,0.8433143434134183,False,False,0.16250538190026062,0.481561521185815,0.7758491174660352,False,False
ME_mistyrose,-0.3310821963795144,0.1426416782130668,0.5170760835223672,False,False,0.03404845346542326,0.8835130315642923,0.9582423822650649,False,False,0.33108219637951436,0.1426416782130668,0.5170760835223672,False,False
ME_navajowhite,-0.06384664356689468,0.7833572240502589,0.8818015346411064,False,False,0.06848875780934661,0.7680069121650699,0.9280083521994594,False,False,0.06384664356689468,0.7833572240502589,0.8818015346411064,False,False
ME_orangered,-0.4805008217574674,0.027469413057900138,0.199153244669776,False,False,0.10601542038503428,0.6474066719312149,0.8533997039093288,False,False,0.4805008217574674,0.027469413057900138,0.199153244669776,False,False
ME_peachpuff,0.025959547921063517,0.9110648485646634,0.9436028788705442,False,False,0.18776188230872107,0.415053479790123,0.8109048940193166,False,False,-0.025959547921063475,0.9110648485646634,0.9436028788705442,False,False
ME_peru,0.038332932101149325,0.8689698524286342,0.9333379896455701,False,False,-0.1695744313524071,0.46242972116634296,0.8381538696139966,False,False,-0.03833293210114935,0.8689698524286342,0.9333379896455701,False,False
ME_red,-0.30282207342015754,0.18210039110768772,0.5867679269025493,False,False,0.2531249702161711,0.26825594355154064,0.7944407629132733,False,False,0.3028220734201575,0.18210039110768772,0.5867679269025493,False,False
ME_saddlebrown,-0.19671754597849295,0.3927340197515262,0.7331959097856707,False,False,0.23024739026016855,0.31533418448309225,0.8097169718156276,False,False,0.1967175459784929,0.3927340197515262,0.7331959097856707,False,False
ME_sandybrown,-0.13391058182017843,0.5627943763594143,0.7898183164733832,False,False,0.012170624636484093,0.9582423822650649,0.9582423822650649,False,False,0.1339105818201784,0.5627943763594143,0.7898183164733832,False,False
ME_seashell,0.10417657309919548,0.6531498166275864,0.8364108323031452,False,False,-0.03219722761841795,0.8898082557822404,0.9582423822650649,False,False,-0.10417657309919548,0.6531498166275864,0.8364108323031452,False,False
ME_sienna,-0.061670388142148674,0.7905806862299575,0.8818015346411064,False,False,0.14269676274282597,0.5372030187497541,0.8433143434134183,False,False,0.06167038814214866,0.7905806862299575,0.8818015346411064,False,False
ME_tan,-0.23217585588142028,0.31118461836982797,0.717140336428559,False,False,0.2786113242164133,0.2213395486877817,0.7944407629132733,False,False,0.23217585588142023,0.31118461836982797,0.717140336428559,False,False
ME_white,0.1986467889396642,0.38801513043167607,0.7331959097856707,False,False,0.1310379314243437,0.571276937627172,0.8433143434134183,False,False,-0.1986467889396642,0.38801513043167607,0.7331959097856707,False,False
