,particle_size_um,concentration_gL,is_100nm,group_MA1,group_MA100,group_MB1,group_MB100,group_MC1,group_MC100,group_MD1
ME_mistyrose,0.14264167821306709,0.8835130315642905,0.14264167821306709,0.3864353362471092,0.39711942735529693,0.013768321318883324,0.4885891737115088,0.21803223775815744,0.02005263410937277,0.5404651534166207
ME_navajowhite,0.7833572240502604,0.7680069121650708,0.7833572240502604,0.9552002648143498,0.9389764320789707,0.762400998474714,0.8944082834555652,0.5004064698995433,0.6557559378570699,0.596758505811713
ME_orangered,0.02746941305790017,0.6474066719312155,0.02746941305790017,0.08197089719051755,0.05907617928599377,0.02013743871772977,0.7217765151706397,0.7892394192530787,0.4388562199315605,0.22985708555545503
ME_peachpuff,0.9110648485646625,0.4150534797901233,0.9110648485646625,0.4519235464210919,0.5121736499978193,0.14198897834329133,0.7105563811168895,0.1969237679728715,0.38261435215216344,0.024784575270845467
ME_peru,0.8689698524286347,0.4624297211663431,0.8689698524286347,0.7857268500424011,0.5001925405152757,0.22778176202484765,0.8700789632916442,0.5725660313313672,0.7843794329916657,0.9076163025564391
ME_red,0.18210039110768783,0.26825594355154114,0.18210039110768783,0.49384501625873384,0.030664295796315372,0.5225500729837266,0.7890111363656116,0.37380715355374805,0.6471628448198493,0.0016655906617668588
ME_saddlebrown,0.3927340197515257,0.31533418448309253,0.3927340197515257,0.5153593372756784,0.7722852249180454,0.3455068771130078,0.7935498988687092,0.10888331043385664,0.5156963512592886,0.5215646120625671
ME_sandybrown,0.562794376359414,0.9582423822650646,0.562794376359414,0.08611289386835758,0.06137185908927227,0.679624380144618,0.3040840384273956,0.24909690850233224,0.9661348870252963,0.9083005409971453
ME_seashell,0.6531498166275863,0.8898082557822393,0.6531498166275863,0.4650431784065149,0.1775304569038201,0.6671499948728252,0.9351120775628758,0.18896139297785125,0.5461251827387732,0.441817730580061
ME_sienna,0.7905806862299579,0.5372030187497545,0.7905806862299579,0.3333781170438124,0.9805459939314773,0.4672819593993032,0.7658626133730562,0.7665680165104148,0.9186294683845239,0.7546243512033354
ME_tan,0.31118461836982836,0.2213395486877818,0.31118461836982836,0.9436727679115505,0.26332940599809573,0.6951952020241983,0.6600827273628722,0.06065422021179761,0.44893373894817723,0.4824270940496238
ME_white,0.38801513043167485,0.5712769376271718,0.38801513043167485,0.7599330815225163,0.39432354165301153,0.813675214068854,0.9863818815536035,0.16142535290322663,0.7274185191567528,0.005666091559244047
